GENESIS-Tabelle: 46241-007Z
Straßenverkehrsunfälle: Unfälle mit Personenschaden oder;;;;;;;;
Sachschaden, Verunglückte - Gemeinden;;;;;;;;
(Gebietsstand ab 01.01.23) - Jahre;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;
;;;Unfälle insgesamt (o.so.Sachsch.unf.);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i.e.S.;Sonst. Sachsch.unfall unt.Einwirk.berausch.Mittel;Getötete;Verletzte
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14625390;      Obergurig;2024;1;1;-;-;-;1
14625410;      Ohorn;2024;10;7;3;-;-;12
14625420;      Oßling;2024;8;6;2;-;-;8
14625430;      Ottendorf-Okrilla;2024;61;44;17;-;-;54
14625440;      Panschwitz-Kuckau;2024;13;9;3;1;-;13
14625450;      Pulsnitz, Stadt;2024;37;24;11;2;1;27
14625470;      Räckelwitz;2024;7;7;-;-;-;13
14625480;      Radeberg, Stadt;2024;80;59;17;4;-;70
14625490;      Radibor;2024;14;12;2;-;-;18
14625500;      Ralbitz-Rosenthal;2024;4;2;2;-;-;2
14625510;      Rammenau;2024;8;3;4;1;-;4
14625525;      Schirgiswalde-Kirschau, Stadt;2024;29;23;5;1;-;30
14625530;      Schmölln-Putzkau;2024;19;13;6;-;1;15
14625550;      Schwepnitz;2024;7;5;1;1;-;5
14625560;      Sohland a. d. Spree;2024;28;25;2;1;1;30
14625570;      Spreetal;2024;10;6;4;-;-;11
14625580;      Steina;2024;5;5;-;-;1;5
14625590;      Steinigtwolmsdorf;2024;8;7;1;-;-;11
14625600;      Wachau;2024;46;29;15;2;3;35
14625610;      Weißenberg, Stadt;2024;26;16;7;3;-;32
14625630;      Wilthen, Stadt;2024;14;9;3;2;-;13
14625640;      Wittichenau, Stadt;2024;15;12;1;2;-;15
14626;    Görlitz, Landkreis;2024;1146;851;248;47;10;1075
14626010;      Bad Muskau, Stadt;2024;13;11;2;-;-;14
14626020;      Beiersdorf;2024;2;-;1;1;-;-
14626030;      Bernstadt a. d. Eigen, Stadt;2024;16;11;4;1;-;12
14626050;      Bertsdorf-Hörnitz;2024;11;7;3;1;-;8
14626060;      Boxberg/O.L.;2024;29;17;12;-;-;28
14626085;      Ebersbach-Neugersdorf, Stadt;2024;58;40;16;2;-;45
14626100;      Gablenz;2024;9;7;2;-;-;9
14626110;      Görlitz, Stadt, Hochschulstadt;2024;218;176;29;13;2;205
14626120;      Groß Düben;2024;3;3;-;-;-;4
14626140;      Großschönau;2024;16;9;6;1;-;9
14626150;      Großschweidnitz;2024;11;10;1;-;-;17
14626160;      Hähnichen;2024;5;5;-;-;-;5
14626170;      Hainewalde;2024;5;4;1;-;-;7
14626180;      Herrnhut, Stadt;2024;24;17;7;-;-;24
14626190;      Hohendubrau;2024;4;2;2;-;-;3
14626200;      Horka;2024;7;5;2;-;-;6
14626210;      Jonsdorf, Kurort;2024;3;1;2;-;-;1
14626230;      Kodersdorf;2024;17;11;5;1;-;15
14626240;      Königshain;2024;6;5;1;-;1;5
14626245;      Kottmar;2024;24;18;5;1;1;24
14626250;      Krauschwitz i.d. O.L.;2024;19;12;7;-;-;17
14626260;      Kreba-Neudorf;2024;1;1;-;-;-;1
14626270;      Lawalde;2024;3;1;2;-;-;1
14626280;      Leutersdorf;2024;17;11;6;-;-;15
14626290;      Löbau, Stadt;2024;58;42;13;3;1;63
14626300;      Markersdorf;2024;28;22;5;1;1;29
14626310;      Mittelherwigsdorf;2024;20;12;7;1;1;16
14626320;      Mücka;2024;3;2;1;-;-;3
14626330;      Neißeaue;2024;4;4;-;-;-;6
14626350;      Neusalza-Spremberg, Stadt;2024;11;9;1;1;-;11
14626370;      Niesky, Stadt;2024;43;35;6;2;-;38
14626390;      Oderwitz;2024;25;16;8;1;1;22
14626400;      Olbersdorf;2024;16;11;5;-;-;12
14626410;      Oppach;2024;9;6;2;1;-;7
14626420;      Ostritz, Stadt;2024;4;3;1;-;-;3
14626430;      Oybin;2024;3;2;1;-;-;2
14626450;      Reichenbach/O.L., Stadt;2024;23;16;7;-;-;29
14626460;      Rietschen;2024;5;3;2;-;-;3
14626470;      Rosenbach;2024;9;6;3;-;-;7
14626480;      Rothenburg/O.L., Stadt, Hochschulstadt;2024;17;13;4;-;-;14
14626490;      Schleife;2024;12;10;1;1;-;12
14626500;      Schönau-Berzdorf a. d. Eigen;2024;9;9;-;-;-;11
14626510;      Schönbach;2024;6;5;1;-;-;8
14626520;      Schöpstal;2024;19;12;7;-;-;18
14626530;      Seifhennersdorf, Stadt;2024;10;7;3;-;-;7
14626560;      Trebendorf;2024;2;2;-;-;-;2
