GENESIS-Tabelle: 46251-003Z
Kfz-Bestand: Bestand, Kfz-Arten(4);;;;;;;
- Gemeinden (GS ab 01.01.23);;;;;;;
- Stichtage: bis 2000 am 01.07., bis 2010 am 01.01.;;;;;;;
Statistik des Kfz - und Anhängerbestandes;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;
;;;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart;Kraftfahrzeugart
;;;Insgesamt;Pkw insgesamt;Lkw insgesamt;Zugmaschinen insgesamt;Krafträder, zwei-, drei- und leichte vierrädr. Kfz
14523100;      Elsterberg, Stadt;01.01.2010;3052;2508;211;97;211
14523120;      Falkenstein/Vogtl., Stadt;01.01.2010;5512;4768;306;99;286
14523130;      Grünbach;01.01.2010;1175;1013;79;.;60
14523150;      Heinsdorfergrund;01.01.2010;1933;1502;181;149;80
14523160;      Klingenthal, Stadt;01.01.2010;6068;5353;316;.;300
14523170;      Lengenfeld, Stadt;01.01.2010;5553;4488;433;240;354
14523190;      Limbach;01.01.2010;1125;905;86;.;86
14523200;      Markneukirchen, Stadt;01.01.2010;5913;4820;388;.;363
14523230;      Mühlental;01.01.2010;1323;969;86;.;81
14523245;      Muldenhammer;01.01.2010;2426;2040;163;44;162
14523260;      Netzschkau, Stadt;01.01.2010;2767;2340;195;47;169
14523270;      Neuensalz;01.01.2010;2010;1541;224;93;123
14523280;      Neumark;01.01.2010;2533;1906;403;55;137
14523290;      Neustadt/Vogtl.;01.01.2010;776;643;47;.;39
14523300;      Oelsnitz/Vogtl., Stadt;01.01.2010;7834;6480;552;261;487
14523310;      Pausa-Mühltroff, Stadt;01.01.2010;4088;3268;284;.;282
14523320;      Plauen, Stadt, Hochschulstadt;01.01.2010;37149;32319;2273;405;1889
14523330;      Pöhl;01.01.2010;1988;1614;134;.;131
14523340;      Reichenbach im Vogtland, Stadt;01.01.2010;14011;11997;961;.;760
14523360;      Rodewisch, Stadt;01.01.2010;5023;4139;438;104;272
14523365;      Rosenbach/Vogtl.;01.01.2010;3686;2849;289;.;255
14523370;      Schöneck/Vogtl., Stadt;01.01.2010;2540;2056;152;160;160
14523380;      Steinberg;01.01.2010;2115;1691;179;89;138
14523410;      Theuma;01.01.2010;903;733;55;.;54
14523420;      Tirpersdorf;01.01.2010;1301;1001;91;.;109
14523430;      Treuen, Stadt;01.01.2010;5989;5036;418;185;318
14523440;      Triebel/Vogtl.;01.01.2010;1118;903;36;.;81
14523450;      Weischlitz;01.01.2010;5264;4067;389;.;347
14523460;      Werda;01.01.2010;1178;976;80;.;55
14524;    Zwickau, Landkreis;01.01.2010;214908;182202;14747;4209;12403
14524010;      Bernsdorf;01.01.2010;1999;1570;149;109;157
14524020;      Callenberg;01.01.2010;4211;3274;344;236;331
14524030;      Crimmitschau, Stadt;01.01.2010;12431;10496;877;338;655
14524040;      Crinitzberg;01.01.2010;1546;1205;114;.;125
14524050;      Dennheritz;01.01.2010;1165;902;94;.;55
14524060;      Fraureuth;01.01.2010;3667;3135;211;98;209
14524070;      Gersdorf;01.01.2010;3048;2531;208;63;233
14524080;      Glauchau, Stadt, Hochschulstadt;01.01.2010;14876;12809;1047;115;791
14524090;      Hartenstein, Stadt;01.01.2010;3187;2668;183;.;206
14524100;      Hartmannsdorf b. Kirchberg;01.01.2010;1153;841;141;.;70
14524110;      Hirschfeld;01.01.2010;1091;795;126;74;84
14524120;      Hohenstein-Ernstthal, Stadt;01.01.2010;9376;8068;597;65;614
14524130;      Kirchberg, Stadt;01.01.2010;5900;4753;401;275;445
14524140;      Langenbernsdorf;01.01.2010;3050;2361;280;193;192
14524150;      Langenweißbach;01.01.2010;1983;1628;115;.;164
14524160;      Lichtenstein/Sa., Stadt;01.01.2010;7706;6637;536;67;435
14524170;      Lichtentanne;01.01.2010;4669;3931;331;97;292
14524180;      Limbach-Oberfrohna, Stadt;01.01.2010;15706;13417;1030;242;968
14524190;      Meerane, Stadt;01.01.2010;9154;8045;479;102;494
14524200;      Mülsen;01.01.2010;8566;7074;641;211;596
14524210;      Neukirchen/Pleiße;01.01.2010;2951;2437;243;72;174
14524220;      Niederfrohna;01.01.2010;1752;1473;111;.;133
14524230;      Oberlungwitz, Stadt;01.01.2010;4634;3905;361;43;305
14524240;      Oberwiera;01.01.2010;934;709;89;59;61
14524250;      Reinsdorf;01.01.2010;6257;4695;1022;171;335
14524260;      Remse;01.01.2010;1395;1155;115;34;77
14524270;      Schönberg;01.01.2010;798;614;44;.;62
14524280;      St. Egidien;01.01.2010;2421;1997;170;.;181
14524290;      Waldenburg, Stadt;01.01.2010;2925;2465;180;62;203
14524300;      Werdau, Stadt;01.01.2010;13989;12109;857;183;755
14524310;      Wildenfels, Stadt;01.01.2010;2771;2247;193;116;190
14524320;      Wilkau-Haßlau, Stadt;01.01.2010;6668;5817;382;69;376
14524330;      Zwickau, Stadt, Hochschulstadt;01.01.2010;52929;46439;3076;479;2435
146;  Dresden, NUTS 2-Region;01.01.2010;931173;793198;61400;18263;50939
14612;    Dresden, Stadt;01.01.2010;230352;202669;14236;971;10712
14612000;      Dresden, Stadt;01.01.2010;230352;202669;14236;971;10712
14625;    Bautzen, Landkreis;01.01.2010;213540;179345;14921;5526;12030
14625010;      Arnsdorf;01.01.2010;3017;2490;196;89;208
14625020;      Bautzen, Stadt, Hochschulstadt;01.01.2010;23802;20457;1655;295;1024
14625030;      Bernsdorf, Stadt;01.01.2010;4562;3898;224;.;331
14625040;      Bischofswerda, Stadt;01.01.2010;7148;6171;436;158;326
14625060;      Burkau;01.01.2010;2129;1753;152;96;117
14625080;      Crostwitz;01.01.2010;790;666;45;.;35
14625090;      Cunewalde;01.01.2010;3363;2903;216;60;169
14625100;      Demitz-Thumitz;01.01.2010;1952;1663;121;48;108
14625110;      Doberschau-Gaußig;01.01.2010;3112;2560;241;112;181
14625120;      Elsterheide;01.01.2010;3448;2642;295;202;241
14625130;      Elstra, Stadt;01.01.2010;2299;1796;190;122;166
14625140;      Frankenthal;01.01.2010;729;597;53;.;50
14625150;      Göda;01.01.2010;2450;2038;173;90;127
14625160;      Großdubrau;01.01.2010;3200;2665;218;112;187
14625170;      Großharthau;01.01.2010;2106;1729;143;74;145
14625180;      Großnaundorf;01.01.2010;797;665;50;.;38
