name,unfaelle,population,rate
"Breitenbrunn/Erzgeb., Hochschulstadt",13,4640,2.801724137931034482758621
"Markkleeberg, Stadt",71,25360,2.799684542586750788643533
Eichigt,3,1073,2.795899347623485554520037
Großdubrau,11,3958,2.779181404749873673572511
"Chemnitz, Stadt",680,246778,2.755513052216972339511626
"Tharandt, Stadt",14,5089,2.751031636863823933975241
"Falkenstein/Vogtl., Stadt",20,7286,2.744990392533626132308537
Königswartha,9,3289,2.736394040741866828823351
"Glauchau, Stadt, Hochschulstadt",58,21202,2.73559098198283180831997
"Meerane, Stadt",37,13530,2.734663710273466371027347
Bannewitz,30,11025,2.721088435374149659863946
"Wurzen, Stadt",44,16198,2.71638473885664896900852
"Weißwasser/O.L., Stadt",40,14773,2.707642320449468625194612
Demitz-Thumitz,7,2594,2.698535080956052428681573
Steinberg,7,2608,2.684049079754601226993865
Eppendorf,10,3731,2.680246582685607075850978
"Geithain, Stadt",18,6730,2.67459138187221396731055
Neukirchen/Pleiße,10,3740,2.673796791443850267379679
"Elstra, Stadt",7,2629,2.662609357170026626093572
Doberschau-Gaußig,11,4141,2.656363197295339290026564
"Frauenstein, Stadt",7,2638,2.653525398028809704321456
"Neusalza-Spremberg, Stadt",8,3016,2.65251989389920424403183
"Werdau, Stadt",53,20005,2.649337665583604098975256
"Pausa-Mühltroff, Stadt",12,4541,2.642589737943184320634222
"Zwickau, Stadt, Hochschulstadt",227,86142,2.635183766339300225209538
"Oelsnitz/Vogtl., Stadt",26,9882,2.631046346893341428860555
Radibor,8,3056,2.617801047120418848167539
"Wilthen, Stadt",12,4589,2.614948790586184353889736
"Oberwiesenthal, Kurort, Stadt",5,1915,2.610966057441253263707572
Trossin,3,1152,2.604166666666666666666667
Großolbersdorf,7,2688,2.604166666666666666666667
Horka,4,1540,2.597402597402597402597403
"Bad Elster, Stadt",9,3477,2.588438308886971527178602
Käbschütztal,7,2714,2.579218865143699336772292
Großschönau,13,5044,2.577319587628865979381443
Thallwitz,9,3500,2.571428571428571428571429
"Roßwein, Stadt",18,7021,2.563737359350519868964535
Raschau-Markersbach,12,4684,2.561912894961571306575576
"Mittweida, Stadt, Hochschulstadt",35,13670,2.560351133869787856620337
Oberschöna,8,3127,2.558362647905340582027502
"Freital, Stadt",100,39104,2.557283142389525368248773
"Lößnitz, Stadt",19,7463,2.545893072490955379874045
"Geringswalde, Stadt",10,3954,2.529084471421345472938796
Schwepnitz,6,2382,2.518891687657430730478589
Weißenborn/Erzgeb.,6,2390,2.51046025104602510460251
Neißeaue,4,1598,2.50312891113892365456821
Grünbach,4,1610,2.48447204968944099378882
"Groitzsch, Stadt",18,7315,2.460697197539302802460697
Klingenberg,16,6513,2.456625211116229080300937
Königshain-Wiederau,6,2458,2.441008950366151342554923
Stauchitz,7,2901,2.4129610479145122371596
Langenbernsdorf,8,3324,2.406738868832731648616125
"Brandis, Stadt",23,9648,2.38391376451077943615257
Dürrhennersdorf,2,839,2.383790226460071513706794
Schönberg,2,841,2.378121284185493460166468
"Limbach-Oberfrohna, Stadt",55,23318,2.358692855304914658203963
Oybin,3,1272,2.358490566037735849056604
"Auerbach/Vogtl., Stadt",40,17018,2.350452462098954048654366
Kottmar,16,6808,2.350176263219741480611046
Neukirch/Lausitz,11,4704,2.338435374149659863945578
"Augustusburg, Stadt",10,4292,2.329916123019571295433364
"Zwenkau, Stadt",22,9462,2.325089833016275628831114
Oppach,5,2160,2.314814814814814814814815
"Bad Muskau, Stadt",8,3463,2.310135720473577822697083
"Döbeln, Stadt",55,23854,2.305692965540370587742098
"Pegau, Stadt",15,6516,2.302025782688766114180479
"Waldheim, Stadt",20,8705,2.297530155083285468121769
Cunewalde,10,4393,2.276348736626451172319599
"Treuen, Stadt",17,7491,2.269389934588172473635029
"Crimmitschau, Stadt",40,17695,2.260525572195535461994914
Neukieritzsch,16,7086,2.257973468811741462037821
"Schwarzenberg/Erzgeb., Stadt",34,15078,2.254940973603926250165804
Weinböhla,24,10648,2.25394440270473328324568
"Netzschkau, Stadt",8,3563,2.24529890541678360931799
"Heidenau, Stadt",37,16575,2.232277526395173453996983
"Lauter-Bernsbach, Stadt",18,8070,2.23048327137546468401487
Halsbrücke,11,4956,2.219531880548829701372074
