"name","area_km2","population","blitzer","unfaelle","blitzerdichte","unfallrate"
"Lauta, Stadt","42.14","7684","0","29","0.0","3.774076002082248828735034"
"Lichtenberg","14.72","1582","0","6","0.0","3.792667509481668773704172"
"Börnichen/Erzgeb.","15.46","946","0","0","0.0","0.0"
"Schönberg","15.43","841","0","2","0.0","2.378121284185493460166468"
"Halsbrücke","41.04","4956","0","11","0.0","2.219531880548829701372074"
"Puschwitz","11.79","767","0","1","0.0","1.303780964797913950456323"
"Theuma","9.94","943","0","2","0.0","2.120890774125132555673383"
"Taura","11.11","2254","0","4","0.0","1.774622892635314995563443"
"Thum, Stadt","18.9","4616","0","14","0.0","3.032928942807625649913345"
"Radeberg, Stadt","29.83","18614","4","54","0.134093194770365403955749","2.901042226281293649940905"
"Glashütte, Stadt","95.64","6281","1","22","0.010455876202425763278963","3.502626970227670753064799"
"Eibenstock, Stadt","112.24","6700","0","13","0.0","1.940298507462686567164179"
"Belgern-Schildau, Stadt","158.99","7349","0","25","0.0","3.401823377330249013471221"
"Zettlitz","15.68","654","0","1","0.0","1.529051987767584097859327"
"Mülsen","49.7","10560","0","16","0.0","1.515151515151515151515152"
"Thiendorf","74.48","3786","1","6","0.013426423200859291084855","1.584786053882725832012678"
"Colditz, Stadt","84.07","8175","0","15","0.0","1.834862385321100917431193"
"Großröhrsdorf, Stadt","40.95","9442","1","27","0.02442002442002442002442","2.859563651768693073501377"
"Wiedemar","95.54","5562","1","28","0.010466820180029307096504","5.034160373966199208917656"
"Schneeberg, Stadt","23.35","12930","1","21","0.042826552462526766595289","1.624129930394431554524362"
"Wechselburg","25.65","1709","0","5","0.0","2.925687536571094207138678"
"Bad Brambach","43.92","1535","0","9","0.0","5.86319218241042345276873"
"Döbeln, Stadt","91.75","23854","6","55","0.065395095367847411444142","2.305692965540370587742098"
"Reichenbach im Vogtland, Stadt","34.47","19435","1","29","0.029010733971569480707862","1.492153331618214561358374"
"Eichigt","32.73","1073","1","3","0.03055300947143293614421","2.795899347623485554520037"
"Wilkau-Haßlau, Stadt","12.65","9299","0","16","0.0","1.720615119905366168405205"
"Kirchberg, Stadt","39.56","7551","2","14","0.050556117290192113245703","1.854059065024500066216395"
"Schönwölkau","49.41","2603","0","9","0.0","3.457548981943910872070688"
"Kubschütz","43.64","2411","0","13","0.0","5.391953546246370800497719"
"Triebel/Vogtl.","43.09","1102","0","5","0.0","4.537205081669691470054446"
"Stadt Wehlen, Stadt","10.85","1510","0","3","0.0","1.986754966887417218543046"
"Müglitztal","21.01","1858","1","8","0.047596382674916706330319","4.305705059203444564047363"
"Strehla, Stadt","30.27","3623","0","6","0.0","1.656086116478056858956666"
"Hartmannsdorf b. Kirchberg","27.17","1309","0","6","0.0","4.583651642475171886936593"
"Steina","12.51","1640","0","1","0.0","0.609756097560975609756098"
"Lößnitz, Stadt","30.49","7463","0","19","0.0","2.545893072490955379874045"
"Hirschstein","34.59","1918","0","8","0.0","4.171011470281543274244004"
"Rabenau, Stadt","30.73","4305","0","19","0.0","4.413472706155632984901278"
"Brand-Erbisdorf, Stadt","46.33","8670","0","33","0.0","3.80622837370242214532872"
"Hermsdorf/Erzgeb.","20.06","713","0","1","0.0","1.402524544179523141654979"
"Leutersdorf","17.08","3269","0","13","0.0","3.976751300091771183848272"
"Tirpersdorf","19.57","1315","0","2","0.0","1.52091254752851711026616"
"Bad Elster, Stadt","19.77","3477","0","9","0.0","2.588438308886971527178602"
"Klingenthal, Stadt","50.44","7163","0","13","0.0","1.814882032667876588021779"
"Freital, Stadt","40.46","39104","1","100","0.024715768660405338606031","2.557283142389525368248773"
"Oberschöna","44.3","3127","0","8","0.0","2.558362647905340582027502"
"Altmittweida","14.08","1820","0","6","0.0","3.296703296703296703296703"
"Großpostwitz/O.L.","16.48","2669","1","11","0.060679611650485436893204","4.121393780442113150992881"
"Muldenhammer, Erholungsort","56.07","2744","0","5","0.0","1.822157434402332361516035"
"Gröditz, Stadt","28.94","6527","0","12","0.0","1.838516929676727439865175"
"Liebschützberg","68.66","2798","0","2","0.0","0.714796283059328091493924"
"Ostritz, Stadt","23.48","2173","1","9","0.042589437819420783645656","4.141739530602853198343304"
"Leubsdorf","34.47","3132","0","5","0.0","1.596424010217113665389527"
"Oberlungwitz, Stadt","14.68","5658","1","22","0.068119891008174386920981","3.888299752562743018734535"
"Hartha, Stadt","54.4","6392","0","19","0.0","2.97246558197747183979975"
"Mücka","24.35","936","0","3","0.0","3.205128205128205128205128"
"Thalheim/Erzgeb., Stadt","10.79","5872","0","6","0.0","1.021798365122615803814714"
"Olbernhau, Stadt","125.35","9733","0","16","0.0","1.643891914106647487927669"
"Hohndorf","5.25","3299","0","3","0.0","0.909366474689299787814489"
"Zschepplin","68.36","2850","0","9","0.0","3.157894736842105263157895"
"Hirschfeld","18.98","1008","4","9","0.2107481559536354056902","8.928571428571428571428571"
"Oschatz, Stadt","55.44","14048","0","47","0.0","3.345671981776765375854214"
"Gornau/Erzgeb.","19.78","3650","0","5","0.0","1.369863013698630136986301"
"Plauen, Stadt, Hochschulstadt","102.11","64765","9","198","0.088140240916658505533248","3.057206824673820736508917"
"Hohenstein-Ernstthal, Stadt","18.58","13686","4","50","0.215285252960172228202368","3.653368405670027765599883"
"Aue-Bad Schlema, Stadt","36.43","18942","0","0","0.0","0.0"
"Großschirma, Stadt","61.63","5187","0","19","0.0","3.663003663003663003663004"
"Grünhain-Beierfeld, Stadt","22.25","5455","0","11","0.0","2.016498625114573785517874"
"Bernsdorf, Stadt","59.86","6182","0","26","0.0","4.205758654157230669686186"
"Groitzsch, Stadt","70.17","7315","0","18","0.0","2.460697197539302802460697"
"Wülknitz","27.91","1545","0","0","0.0","0.0"
"Flöha, Stadt","27.76","10178","0","29","0.0","2.849282766751817645902928"
"Lichtenberg/Erzgeb.","33.39","2600","0","9","0.0","3.461538461538461538461538"
"Rackwitz","35.85","5487","0","20","0.0","3.644979041370512119555313"
"Quitzdorf am See","36.33","1203","0","2","0.0","1.662510390689941812136326"
"Nossen, Stadt","122.74","10330","1","47","0.008147303242626690565423","4.549854791868344627299129"
"Oppach","8.0","2160","0","5","0.0","2.314814814814814814814815"
"Pegau, Stadt","48.78","6516","0","15","0.0","2.302025782688766114180479"
"Dürrhennersdorf","10.71","839","0","2","0.0","2.383790226460071513706794"
"Burgstädt, Stadt","25.88","10301","4","14","0.154559505409582689335394","1.359091350354334530628094"
"Rathmannsdorf","4.37","866","0","4","0.0","4.618937644341801385681293"
"Beilrode","93.28","4137","0","17","0.0","4.109257916364515349286923"
"Mühlau","8.07","2069","0","4","0.0","1.933301111648139197680039"
"Kreischa","28.92","4596","0","21","0.0","4.569190600522193211488251"
"Pulsnitz, Stadt","26.76","7214","2","21","0.07473841554559043348281","2.911006376490158026060438"
"Arzberg","58.57","1719","0","6","0.0","3.490401396160558464223386"
"Weischlitz","121.63","5512","0","27","0.0","4.898403483309143686502177"
"Dreiheide","33.62","2036","0","4","0.0","1.964636542239685658153242"
"Dohma","19.53","1978","0","12","0.0","6.066734074823053589484328"
"Markranstädt, Stadt","58.46","16032","0","32","0.0","1.996007984031936127744511"
"Bad Gottleuba-Berggießhübel, Stadt","88.72","5299","1","28","0.011271415689810640216411","5.284015852047556142668428"
"Langenweißbach","22.62","2298","0","5","0.0","2.175805047867711053089643"
"Weißwasser/O.L., Stadt","63.43","14773","1","40","0.015765410688948447107047","2.707642320449468625194612"
"Neißeaue","47.37","1598","0","4","0.0","2.50312891113892365456821"
"Neukirch","39.47","1592","0","7","0.0","4.396984924623115577889447"
"Neuensalz","33.49","1990","0","15","0.0","7.53768844221105527638191"
"Dohna, Stadt","28.59","5992","0","34","0.0","5.674232309746328437917223"
"Annaberg-Buchholz, Stadt","28.15","18740","1","28","0.035523978685612788632327","1.494130202774813233724653"
"Remse","14.79","1584","0","5","0.0","3.156565656565656565656566"
"Großharthau","37.28","2952","0","12","0.0","4.06504065040650406504065"
"Vierkirchen","35.41","1593","0","7","0.0","4.394224733207784055241682"
"Niederwürschnitz","6.04","2499","0","13","0.0","5.202080832332933173269308"
"Oybin","18.28","1272","0","3","0.0","2.358490566037735849056604"
"Bahretal","36.46","2076","0","16","0.0","7.70712909441233140655106"
"Großpösna","41.56","5708","1","30","0.024061597690086621751684","5.255781359495444989488437"
"Doberschütz","77.77","3976","0","18","0.0","4.527162977867203219315895"
"Niederau","35.27","4020","0","8","0.0","1.990049751243781094527363"
"Raschau-Markersbach","39.55","4684","0","12","0.0","2.561912894961571306575576"
"Laußig","103.43","3483","0","11","0.0","3.158196956646569049669825"
"Hartmannsdorf","10.28","4421","0","14","0.0","3.166704365528161049536304"
"Rechenberg-Bienenmühle","52.66","1710","0","10","0.0","5.847953216374269005847953"
"Dommitzsch, Stadt","30.44","2190","0","3","0.0","1.369863013698630136986301"
"Rosenthal-Bielatal","46.6","1506","0","2","0.0","1.328021248339973439575033"
"Königsbrück, Stadt","78.48","4641","1","14","0.012742099898063200815494","3.016591251885369532428356"
"Heidenau, Stadt","11.07","16575","0","37","0.0","2.232277526395173453996983"
"Zwönitz, Stadt","64.24","11230","0","35","0.0","3.116651825467497773820125"
"Lossatal","111.17","6007","0","22","0.0","3.662393873813883802230731"
"Geithain, Stadt","54.71","6730","0","18","0.0","2.67459138187221396731055"
"Beiersdorf","6.45","996","0","2","0.0","2.008032128514056224899598"
"Netzschkau, Stadt","12.51","3563","0","8","0.0","2.24529890541678360931799"
"Neukirchen/Erzgeb.","20.14","6841","0","14","0.0","2.046484432100570092091799"
"Cunewalde","26.64","4393","0","10","0.0","2.276348736626451172319599"
"Ohorn","11.99","2434","0","8","0.0","3.286770747740345110928513"
"Wolkenstein, Stadt","30.5","3738","0","17","0.0","4.547886570358480470840021"
"Oelsnitz/Vogtl., Stadt","53.66","9882","3","26","0.055907566157286619455833","2.631046346893341428860555"
