GENESIS-Tabelle: 11111-040M
Gebietsfläche;;;;
- Gemeinden (Gebietsstand ab 01.01.2023) 1);;;;
Feststellung des Gebietsstandes;;;;
31.12.2024;;;;
;;Fläche in qm;Fläche in ha;Fläche in qkm
;;qm;ha;qkm
14625560;      Sohland a. d. Spree;37299119;3729,91;37,30
14625570;      Spreetal;108803077;10880,31;108,80
14625580;      Steina;12509763;1250,98;12,51
14625590;      Steinigtwolmsdorf;18035357;1803,54;18,04
14625600;      Wachau;38106337;3810,63;38,11
14625610;      Weißenberg, Stadt;50960405;5096,04;50,96
14625630;      Wilthen, Stadt;17040601;1704,06;17,04
14625640;      Wittichenau, Stadt;61020268;6102,03;61,02
14626;    Görlitz, Landkreis;2111402909;211140,29;2111,40
14626010;      Bad Muskau, Stadt;15381261;1538,13;15,38
14626020;      Beiersdorf;6454563;645,46;6,45
14626030;      Bernstadt a. d. Eigen, Stadt;51997795;5199,78;52,00
14626050;      Bertsdorf-Hörnitz;17999786;1799,98;18,00
14626060;      Boxberg/O.L.;217672827;21767,28;217,67
14626070;      Dürrhennersdorf;10714113;1071,41;10,71
14626085;      Ebersbach-Neugersdorf, Stadt;20452546;2045,25;20,45
14626100;      Gablenz;14740825;1474,08;14,74
14626110;      Görlitz, Stadt, Hochschulstadt;67525740;6752,57;67,53
14626120;      Groß Düben;15066489;1506,65;15,07
14626140;      Großschönau;23818673;2381,87;23,82
14626150;      Großschweidnitz;7473844;747,38;7,47
14626160;      Hähnichen;49763466;4976,35;49,76
14626170;      Hainewalde;12956879;1295,69;12,96
14626180;      Herrnhut, Stadt;74125445;7412,54;74,13
14626190;      Hohendubrau;45542366;4554,24;45,54
14626200;      Horka;41016433;4101,64;41,02
14626210;      Jonsdorf, Kurort;9034203;903,42;9,03
14626230;      Kodersdorf;42538329;4253,83;42,54
14626240;      Königshain;19579722;1957,97;19,58
14626245;      Kottmar;47342608;4734,26;47,34
14626250;      Krauschwitz i.d. O.L.;106825863;10682,59;106,83
14626260;      Kreba-Neudorf;31653185;3165,32;31,65
14626270;      Lawalde;14546956;1454,70;14,55
14626280;      Leutersdorf;17079397;1707,94;17,08
14626290;      Löbau, Stadt;78895873;7889,59;78,90
14626300;      Markersdorf;62540541;6254,05;62,54
14626310;      Mittelherwigsdorf;36448401;3644,84;36,45
14626320;      Mücka;24348399;2434,84;24,35
14626330;      Neißeaue;47367903;4736,79;47,37
14626350;      Neusalza-Spremberg, Stadt;22913148;2291,31;22,91
14626370;      Niesky, Stadt;53808963;5380,90;53,81
14626390;      Oderwitz;35905719;3590,57;35,91
14626400;      Olbersdorf;15156104;1515,61;15,16
14626410;      Oppach;7995782;799,58;8,00
14626420;      Ostritz, Stadt;23480952;2348,10;23,48
14626430;      Oybin;18282272;1828,23;18,28
14626440;      Quitzdorf am See;36334511;3633,45;36,33
14626450;      Reichenbach/O.L., Stadt;62639904;6263,99;62,64
14626460;      Rietschen;73189526;7318,95;73,19
14626470;      Rosenbach;23561082;2356,11;23,56
14626480;      Rothenburg/O.L., Stadt, Hochschulstadt;72406232;7240,62;72,41
14626490;      Schleife;41991156;4199,12;41,99
14626500;      Schönau-Berzdorf a. d. Eigen;27810844;2781,08;27,81
14626510;      Schönbach;9101558;910,16;9,10
14626520;      Schöpstal;29724882;2972,49;29,72
14626530;      Seifhennersdorf, Stadt;19118564;1911,86;19,12
14626560;      Trebendorf;32051532;3205,15;32,05
14626570;      Vierkirchen;35409666;3540,97;35,41
14626580;      Waldhufen;58757724;5875,77;58,76
14626590;      Weißkeißel;50679099;5067,91;50,68
14626600;      Weißwasser/O.L., Stadt;63428961;6342,90;63,43
14626610;      Zittau, Stadt, Hochschulstadt;66750297;6675,03;66,75
14627;    Meißen, Landkreis;1454584850;145458,49;1454,58
14627010;      Coswig, Stadt;25854927;2585,49;25,85
14627020;      Diera-Zehren;43211471;4321,15;43,21
14627030;      Ebersbach;84380917;8438,09;84,38
14627040;      Glaubitz;14002536;1400,25;14,00
14627050;      Gröditz, Stadt;28942855;2894,29;28,94
14627060;      Großenhain, Stadt;130358509;13035,85;130,36
14627070;      Hirschstein;34592160;3459,22;34,59
14627080;      Käbschütztal;50480579;5048,06;50,48
14627100;      Klipphausen;111667313;11166,73;111,67
14627110;      Lampertswalde;63649057;6364,91;63,65
14627130;      Lommatzsch, Stadt;66616194;6661,62;66,62
14627140;      Meißen, Stadt;30917941;3091,79;30,92
14627150;      Moritzburg;46489180;4648,92;46,49
14627170;      Niederau;35269172;3526,92;35,27
14627180;      Nossen, Stadt;122737862;12273,79;122,74
14627190;      Nünchritz;31277951;3127,80;31,28
14627200;      Priestewitz;61294490;6129,45;61,29
14627210;      Radebeul, Stadt;26164888;2616,49;26,16
14627220;      Radeburg, Stadt;54015829;5401,58;54,02
14627230;      Riesa, Stadt;58910713;5891,07;58,91
14627240;      Röderaue;28820617;2882,06;28,82
14627250;      Schönfeld;39158583;3915,86;39,16
14627260;      Stauchitz;32473782;3247,38;32,47
14627270;      Strehla, Stadt;30272469;3027,25;30,27
14627290;      Thiendorf;74476030;7447,60;74,48
14627310;      Weinböhla;19015898;1901,59;19,02
14627340;      Wülknitz;27908382;2790,84;27,91
14627360;      Zeithain;81624545;8162,45;81,62
14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;1654245795;165424,58;1654,25
14628010;      Altenberg, Stadt;145892473;14589,25;145,89
14628020;      Bad Gottleuba-Berggießhübel, Stadt;88717521;8871,75;88,72
14628030;      Bad Schandau, Stadt;46776516;4677,65;46,78
14628040;      Bahretal;36455185;3645,52;36,46
